"","AIC"
"Null",1111.15984289863
"Median_Weighted_Avg_AI_mod",1106.62269864108
"Median_Weighted_Avg_NOSC",1089.62909043098
"Median_Weighted_Avg_DBE",1090.51999653728
"Median_Weighted_Avg_delGcoxPerCmol",1099.04442431291
"Median_Weighted_Avg_delGcoxPerCompmol",1099.04442431291
"Median_Weighted_Avg_Lambda",1121.36144816049
"Median_Extractable_NPOC_mg_per_kg",1081.1134585639
"Null_cube",397.244052392916
"cube_Median_Weighted_Avg_AI_mod",367.305751310388
"cube_Median_Weighted_Avg_NOSC",360.423092351328
"cube_Median_Weighted_Avg_DBE",358.981310050099
"cube_Median_Weighted_Avg_delGcoxPerCmol",358.928398391001
"cube_Median_Weighted_Avg_delGcoxPerCompmol",358.928398391001
"cube_Median_Weighted_Avg_Lambda",370.922611675578
"cube_Median_Extractable_NPOC_mg_per_kg",360.186425657914
