"","AIC"
"Null",971.701590757547
"Median_AI_mod",955.867276645218
"Median_NOSC",946.033523638356
"Median_DBE",959.362493190955
"Median_delGcoxPerCmol",955.446919721617
"Median_delGcoxPerCompmol",958.176707117305
"Median_Lambda",958.682168859781
"Median_Extractable_NPOC_mg_per_kg",938.434388157353
"Null_cube",353.243054359198
"cube_Median_AI_mod",314.947214416048
"cube_Median_NOSC",302.8882011664
"cube_Median_DBE",308.314516043674
"cube_Median_delGcoxPerCmol",308.369823361992
"cube_Median_delGcoxPerCompmol",325.373927333059
"cube_Median_Lambda",326.96191784043
"cube_Median_Extractable_NPOC_mg_per_kg",316.837157241339
