"Sample_Name","Effect_Size_SpC_microsiemens_per_cm","Effect_Size_pH","Effect_Size_Temperature_degC","Effect_Size_Respiration_Rate_mg_DO_per_L_per_H","Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H","Effect_Size_Fe_mg_per_L","Effect_Size_Fe_mg_per_kg","Effect_Size_ATP_nanomoles_per_L","Effect_Size_ATP_picomoles_per_g","Effect_Size_Extractable_NPOC_mg_per_L","Effect_Size_Extractable_NPOC_mg_per_kg","Effect_Size_Extractable_TN_mg_per_L","Effect_Size_Extractable_TN_mg_per_kg","Effect_Size_C_percent_per_mg","Effect_Size_N_percent_per_mg","Percent_Tot_Sand","Percent_Coarse_Sand","Percent_Med_Sand","Percent_Fine_Sand","Percent_Silt","Percent_Clay","Mean_Specific_Surface_Area_m2_per_g","Median_SpC_microsiemens_per_cm","Median_pH","Median_Temperature_degC","Median_ATP_nanomoles_per_L","Median_ATP_picomoles_per_g","Median_Fe_mg_per_L","Median_Fe_mg_per_kg","Median_X01395_C_percent_per_mg","Median_X01397_N_percent_per_mg","Median_Extractable_NPOC_mg_per_L","Median_Extractable_NPOC_mg_per_kg","Median_Extractable_TN_mg_per_L","Median_Extractable_TN_mg_per_kg","median_Dry_Initial_Gravimetric","median_Dry_Final_Gravimetric"
"EC_005_all",0,0.13,-0.1,0.346,1.116,0.031,0.1,-1.46,-2.38,-0.15,-0.49,-0.02,-0.09,0.02,-0.07,95.6,33.4,56.2,6,4,0.4,8.187,115.4,6.875,20.85,5.03,15.14,0.2075,0.6725,0.27,0.19,2.75,8.89,0.81,2.62,0.27,0.13
"EC_009_all",-1.75,-0.01,0.1,2.397,8.418,0.004,0.012,-11.55,-32.19,0.35,1.28,-0.33,-1.13,-0.1,0.05,81.1,13.3,36.4,31.4,17.5,1.4,18.075,64.14,5.755,19.95,31.845,95.955,0.164,0.574,0.74,0.205,3.635,12.705,0.565,1.97,0.36,0.23
"EC_013_all",5.9,-0.2,-0.3,11.7965,63.2455,0.001,-0.002,0.8,-0.68,-0.18,-0.97,-0.58,-3.16,0.28,0.01,91.6,82,4.1,5.5,7.2,1.2,5.573,436.75,7.245,21.5,6.65,19.89,0.2365,1.267,1.65,0.225,7.97,42.62,7.125,38.145,1.02,0.88
"EC_014_all",-24.7,0.17,-0.1,68.019,285.1325,-0.077,-0.322,-16.33,-44.39,-1.44,-6.02,-0.36,-1.51,0.17,0.05,92,43.5,41.8,6.7,5.3,2.7,5.241,115.2,6.775,21.05,10.12,32.595,0.177,0.7425,0.44,0.355,5.085,21.22,1.045,4.38,0.61,0.51
"EC_017_all",0.9,0.41,-0.1,0.464,1.47,0.064,0.201,0.63,4.27,0,-0.04,-1.42,-4.51,-0.02,0,94.9,70.2,18.8,5.9,1.3,3.8,14.889,280.05,6.41,20.75,7.755,24.745,0.0905,0.285,0.205,0.02,1.85,5.84,0.915,2.885,0.25,0.12
"EC_018_all",-10.8,-0.24,0.02,0.464,1.798,0.034,0.13,-0.41,-0.85,0.06,0.25,-1.62,-6.23,-0.02,0,98.8,91.6,4.5,2.7,0,1.2,2.195,534.9,6.55,21.01,1.11,2.59,0.0345,0.133,0.27,0.01,2.68,10.355,1.895,7.32,0.5,0.42
"EC_021_all",-28,0.12,-0.1,0.168,0.531,-0.01,-0.034,0.11,0.33,-0.31,-0.9,-2.82,-8.82,-0.02,0.01,96.1,50,37.1,9,0,3.9,5.958,1173,7.475,20.8,2.725,8.73,0.039,0.1235,0.17,0.01,6.855,21.755,5.315,17.07,0.26,0.14
"EC_022_all",-14.94,0.26,-0.5,8.66,28.063,0.114,0.366,-4.33,-0.23,0.445,1.44,-2.945,-9.53,-0.09,-0.03,91.2,24.5,54,12.7,6.1,2.7,31.574,76.805,6.615,21.2,12.585,42.965,0.144,0.4675,0.355,0.2,1.71,5.53,0.34,1.1,0.28,0.16
"EC_024_all",-30.9,0.19,-0.1,1.564,4.52,0.019,0.056,-2.67,-7.84,0.01,-0.02,-2.1,-6.11,-0.02,-0.18,96.5,83.6,8.7,4.2,0.1,3.4,4.797,232.65,6.36,21.55,14.24,50.3,0.039,0.1135,0.375,0.15,2.325,6.74,1.725,5.005,0.17,0.08
"EC_027_all",-47,-0.16,-0.3,242.9625,1266.214,0.018,0.094,-0.01,-0.78,-0.3,-1.57,-0.19,-0.995,-0.32,-0.25,72.6,1.1,25,46.5,11.7,15.7,34.066,1087.5,7.055,21.6,3.095,16.205,0.086,0.448,1.44,0.23,5.32,27.64,0.88,4.57,1,0.71
"EC_032_all",-40.6,-0.45,0.5,42.345,241.472,-2.898,-14.698,-1.52,-10.36,-0.21,-1.88,-0.1,-0.74,0.05,0.02,8.8,1.1,1.1,6.6,70.6,20.6,95.555,607.5,7.26,19.9,3.97,25.88,2.408,12.603,2.005,0.32,7.985,41.75,1.325,7.03,1.04,0.64
"EC_033_all",-36,0.05,-0.1,0,0,-0.03,-0.097,-0.87,-2.45,-0.63,-1.94,-1.52,-4.88,0,0.01,99.1,92.1,6.2,0.8,0,0.9,5.349,1156,7.625,20.8,1.365,3.715,0.0235,0.075,0.13,0.02,5.82,18.385,5.42,17.205,0.26,0.14
"EC_034_all",-73.5,-0.05,0.8,242.277,838.792,0.249,0.853,-18.41,-43.78,-0.98,-3.47,-1.45,-5.04,0.08,-0.03,85.3,0.6,4,80.7,11.3,3.4,14.807,451.15,6.475,21.7,51.245,235.85,0.2335,0.8075,1.185,0.225,3.93,13.54,1.39,4.795,0.35,0.21
"EC_035_all",8.6,0.02,0.1,0,0,0.067,0.472,7.35,17.03,-0.14,-1.38,-0.19,-1.36,-0.21,0.03,94.2,3.5,62.3,28.4,3.3,2.5,17.126,277.35,7.1,19.95,18.105,64.41,0.3345,2.3845,1.245,0.225,4.7,33.43,1.11,7.86,1.63,1.28
"EC_037_all",-10.8,0.06,-0.4,0.432,1.179,0.023,0.061,-0.63,-3.6,0.46,0.96,-2.36,-6.89,0.03,0.1,97.7,89.3,4.7,3.7,0,2.3,5.726,361.2,6.62,20.95,5.845,18.265,0.0575,0.168,0.355,0.23,4.165,12.015,2.05,5.87,0.16,0.06
"EC_038_all",-16,0.22,0,11.895,37.317,-0.009,-0.016,4.65,8.45,-1.45,-4.54,-0.71,-2.16,0.03,-0.01,97.8,80.5,12.1,5.2,0,2.2,6.034,151,6.7,20.9,9.74,30.605,0.1595,0.494,0.31,0.265,5.24,16.23,0.91,2.825,0.23,0.12
"EC_039_all",-19.4,-0.24,0,0.659,2.134,0,-0.001,0.42,4.09,-0.17,-0.61,-0.96,-2.9,0.28,-0.09,96.9,67.9,25.3,3.7,0,3.1,5.336,518.1,7.465,20.4,5.68,15.33,0.034,0.1115,1.445,0.21,3.84,12.625,0.8,2.615,0.3,0.17
"EC_040_all",-39.5,-0.2,0.1,233.121,858.062,1.912,6.923,-0.64,-1.61,0.49,1.97,0.08,0.32,0.6,0.24,41.3,3.8,1.8,35.7,41,17.7,68.869,514.15,7.35,19.95,1.74,13.255,2.962,10.7835,1.45,0.205,3.595,13.175,0.98,3.605,0.46,0.18
"EC_041_all",22.6,-0.16,-0.2,129.185,482.199,0.009,0.034,22.4,71.58,-0.06,-0.28,-0.23,-0.86,-0.01,-0.105,94.1,55,31.9,7.2,1.8,4.1,11.21,233.1,7.365,20.45,16.5,55.915,0.1155,0.4305,1.59,0.32,2.845,10.58,0.9,3.35,0.46,0.25
"EC_042_all",-3.4,-0.16,0.1,2.796,9.776,-0.051,-0.18,0.15,0.17,0,-0.04,-1.51,-5.34,0,0.03,94.7,77,11.3,6.4,4,1.3,7.177,114.25,7.395,20.3,0.655,2.095,0.0395,0.139,0.27,0.17,1.89,6.65,0.81,2.845,0.37,0.25
"EC_044_all",-3,0.54,0,3.868,11.849,0.024,0.077,5.49,9.2,1.08,3.25,-1.38,-4.18,-0.17,-0.06,95,59.7,23.3,12,2.4,2.6,9.657,122.85,5.79,20.7,16.415,46.765,0.0585,0.1785,0.345,0.255,3.89,11.89,1.095,3.345,0.22,0.07
"EC_051_all",2.65,0.36,-0.3,1.195,4.132,0.042,0.143,-8.01,-12.81,0.15,0.5,-0.57,-1.97,-0.21,-0.05,84.6,72,6.6,6,11.1,4.3,64.144,42.765,7.46,21.1,34.99,130.86,0.1665,0.576,0.495,0.175,1.56,5.385,0.46,1.59,0.36,0.23
"EC_056_all",-3.08,-0.57,0.4,0,0,0.006,0.018,0.1,0.41,-0.45,-1.26,-0.01,-0.02,-0.02,0,98.5,70.2,25.3,3,0,1.5,2.183,16.36,5.45,20.8,0.915,2.825,0.02,0.059,0.15,0.01,2.55,7.46,0.275,0.8,0.17,0.03
"EC_063_all",-9,-0.34,0,4.649,14.025,0.127,0.379,-6.48,-32.86,1.73,5.11,-0.52,-1.55,-0.01,-0.04,97.3,47,44.3,6,0.8,1.9,2.175,114.95,6.595,20.7,25.535,76.295,0.27,0.818,0.305,0.135,9.005,27.21,0.875,2.645,0.2,0.05
"EC_064_all",16.2,-0.08,0,118.722,705.472,0.009,0.051,-3.65,0.4,0.47,2.77,-0.45,-2.67,0.09,0.1,90.1,67.7,15.2,7.2,7.6,2.3,2.014,298.05,7.28,20.9,41.52,137.2,0.028,0.1675,0.65,0.32,3.145,18.69,1.025,6.095,1.22,0.95
"EC_065_all",0.91,-0.09,0,3.88,13.49,0.03,0.106,-3.14,-13.99,-0.05,-0.11,0.01,0.05,0.02,0.01,93.2,26.9,52.1,14.2,1.9,4.9,11.569,32.115,5.735,19.5,19.505,61.63,0.188,0.6425,0.28,0.175,1.705,5.845,0.21,0.715,0.35,0.23
"EC_066_all",-1.76,-0.03,-0.1,0.229,0.734,-0.003,-0.01,-0.28,0.09,1.67,5.39,-0.1,-0.31,0.02,0,96.2,94.5,0.5,1.2,1.7,2.1,10.028,37.265,6.155,20.25,2.755,9.415,0.0545,0.175,0.21,0.02,24.345,77.725,0.73,2.34,0.27,0.11
"EC_068_all",34.1,0.07,0,10.26,64.824,0.276,1.74,-2.99,-15.83,0.7,4.19,0.12,0.8,0.86,-0.01,22.1,6.9,0.9,14.3,51,26.9,57.538,289.55,6.78,21.8,3.725,26.43,1.0755,6.7835,2.55,0.405,7.38,46.665,1.36,8.615,1.67,0.95
"EC_069_all",-368,-0.27,0.3,212.65,673.109,0.218,0.693,-51.61,-173.94,0.34,1,-3.31,-10.53,0.02,0.06,94.7,83.3,5.5,5.9,2,3.3,6.542,1444,6.615,21.2,82.7,311.995,0.1595,0.508,2.63,0.175,3.94,12.53,2.12,6.765,0.26,0.14
