,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,HtoC.mean,HtoC.median,HtoC.sd,OtoC.mean,OtoC.median,OtoC.sd,NtoC.mean,NtoC.median,NtoC.sd,PtoC.mean,PtoC.median,PtoC.sd,NtoP.mean,NtoP.median,NtoP.sd,GFE_0.mean,GFE_0.median,GFE_0.sd,GFE_7.mean,GFE_7.median,GFE_7.sd,GFEperC_0.mean,GFEperC_0.median,GFEperC_0.sd,GFEperC_7.mean,GFEperC_7.median,GFEperC_7.sd,lambdaO2_0.mean,lambdaO2_0.median,lambdaO2_0.sd,lambdaO2_7.mean,lambdaO2_7.median,lambdaO2_7.sd,mass.mean,mass.median,mass.sd,number.of.peaks,peaks.with.formula
EC_005_SIR-W1_p05,0.205327182285751,0,0.260839174929375,0.252785047862805,0.153846153846154,0.279904861538701,11.3041825095057,11,7.63271019249347,1.74144486692015,-1,11.1981490855659,542.601937690421,546.432200827905,69.0453777689058,0.458898811480248,0.463175344998831,0.0852848786491937,-0.243309989146923,-0.266666666666667,0.555834028548045,1.31001530737503,1.28571428571429,0.479942221033511,0.447857288224088,0.448275862068966,0.279614600143082,0.056543663732994,0.0588235294117647,0.0641489809194181,0.0171801973193067,0,0.0222635018513106,0.831775700934579,0,0.966280373668047,1706.23003802281,1675.2,712.392246553284,-3558.4104238602,-3408.09963617891,1038.26147368065,67.2343346906873,67.9,15.8412698136193,-143.112945332183,-143.76440803432,9.41750814238307,0.0453027003398084,0.0415090294323635,0.0171217953536902,0.0397083311547606,0.036304171314549,0.014780473357699,543.208489142196,547.043033966688,69.1225606376261,263,263
EC_005_SIR-W2_p05,0.274825346165491,0.217391304347826,0.285630678393992,0.318514607915721,0.384615384615385,0.296139864744088,12.4,14,8.05227175769485,4.04,6,11.7073314292969,517.84774632977,524.645163053807,75.2166560336322,0.437967955944446,0.428846213996962,0.0978059467516357,-0.24757090808166,-0.294117647058823,0.420442487580057,1.24618431712768,1.12,0.51659933392252,0.395511133327027,0.357142857142857,0.280327015919634,0.0615700664637573,0.0625,0.0512261150442575,0.0124332729788402,0,0.020953559754291,1.10416666666667,1,0.831291825588812,1677.156,1742.1,546.903420686524,-3523.69286646838,-3672.0150095998,928.852172155014,67.3557708803273,68.6823529411765,11.9826108960316,-142.537391876413,-143.10138435386,6.66829930927663,0.0452967540808506,0.0411256266106427,0.015864267358125,0.0398618656705509,0.0353043255822925,0.0137331083905375,518.426626131917,525.231641396792,75.3007375098413,175,175
EC_005_SIR-W3_p06,0.246083914055214,0.2,0.266713793312943,0.315751800628127,0.333333333333333,0.285387963812556,12.5647668393782,13,7.57924812622563,3.41450777202073,5,10.3739556146627,520.05597500134,538.436340516061,104.918430537584,0.456978366535663,0.459386660087603,0.112940903011941,-0.184732859119351,-0.206896551724138,0.525668317938158,1.18592578935093,1.09375,0.473780804751547,0.428627438449814,0.375,0.263210763219759,0.0547997309369468,0.0555555555555556,0.0623657664360664,0.019643380434849,0,0.0255339532568694,0.780487804878049,0,0.916574274723009,1616.26010362694,1584.3,663.477447583618,-3463.05337079657,-3418.54579282369,1076.60498279157,65.5648864849015,66.1965517241379,14.9815470612375,-142.518636012334,-142.332677614918,8.67650550758757,0.0485361181349859,0.0431984920109282,0.0207716655747612,0.0423323486170508,0.0376075943553614,0.0177559202023602,520.637323287681,539.038235425281,105.035714354578,193,193
EC_005_SIR-W4_p06,0.29394063234947,0.25,0.287721552411018,0.362562012729615,0.368421052631579,0.2817627045904,13.9143968871595,14,8.36662751546226,5.7431906614786,7,11.079092532442,520.562623194307,516.594991818283,95.5054246314109,0.43737680569268,0.42781645830712,0.0982767583206668,-0.302692541204703,-0.315789473684211,0.436454036052314,1.15460786147343,1.11111111111111,0.485640247182069,0.359296751961784,0.282051282051282,0.250017230364116,0.0493294037641828,0.0454545454545455,0.0563355521893967,0.0154065235220696,0,0.0233554793324782,1.08139534883721,1,0.948250603251244,1815.80544747082,1799.1,643.341795858418,-3752.39224690273,-3736.15344315203,1111.90546929197,68.926737424334,69.3,12.438940027491,-143.442295257429,-143.287164561186,7.30597148726487,0.04285584906349,0.0377589695707046,0.0164323842830707,0.0376417934305532,0.0333146786201686,0.0140935086827037,521.14453784095,517.172471219851,95.6121860525167,257,257
EC_005_SIR-W5_p06,0.254563090243095,0.217391304347826,0.264497404720997,0.324274977609959,0.333333333333333,0.270524475390624,12.8590604026846,13,8.28954089804622,4.1744966442953,6,11.4057427117103,521.915609723207,524.533201872259,98.7806423138365,0.433383565383326,0.42989792936271,0.0959849450741309,-0.281811520265027,-0.303030303030303,0.454140042559099,1.21486305817593,1.15789473684211,0.477171926387363,0.395457318349608,0.321428571428571,0.266979983317427,0.0507210788569872,0.0454545454545455,0.0638290071481851,0.0142931829235663,0,0.0222339166447649,1,1,1.01058230527982,1788.4610738255,1685.1,717.551507776517,-3683.33843964207,-3608.40728650725,1198.98927370715,68.3316283275533,68.9363636363636,12.9429912129343,-143.04004859137,-143.453162290972,7.48010429866414,0.0451882704932746,0.0402159207214111,0.0200619816230078,0.0397638400820232,0.0355683825753333,0.0175959949312168,522.499036815505,525.119555058638,98.891064960423,149,149
EC_005_SIR-D1_p07,0.254929579185098,0.0833333333333333,0.301826998492299,0.327515954668689,0.266666666666667,0.297510359339246,13.4758364312268,11,9.0995926054459,5.15241635687732,3,11.2887394245837,514.836256439066,506.588315160428,121.530480560219,0.438836497736732,0.419290381584688,0.138331589453439,-0.295793572341241,-0.307692307692307,0.504378536933888,1.18197061432654,1.16666666666667,0.505816963459304,0.377274369952532,0.321428571428571,0.243841579511208,0.0466486282327946,0,0.0599630201739084,0.0165694302742077,0,0.02468952019739,0.84,0,0.981855592253975,1766.11226765799,1614.9,739.675816771177,-3665.97662836636,-3368.14579282369,1263.7587780222,68.7301168117254,69.0692307692308,14.3747883026158,-143.806294235006,-143.47806195044,7.93791490822723,0.0458362612166186,0.0431441540038051,0.0216078341146752,0.040164337509191,0.0377883180514773,0.0183957058596137,515.411769825728,507.154608527018,121.666334275988,269,269
EC_005_SIR-D2_p05,0.165417138894054,0,0.240045067367927,0.207936530193688,0,0.268304815523854,10.4514767932489,9,7.24179605470743,-0.417721518987342,-4,10.6893035339429,553.46191970647,556.586577843377,73.4146483725868,0.466350335724022,0.458027102920084,0.104689011334249,-0.217962771927524,-0.25,0.468876124175387,1.36140954301715,1.40909090909091,0.456927011509501,0.494103562189723,0.523809523809524,0.259135092900532,0.0578886134194196,0.0625,0.0497697168886106,0.0184516370252276,0,0.0233451612280383,1.48421052631579,2,0.797111245803175,1626.9164556962,1608.3,540.413540199959,-3458.68520040926,-3339.37657604758,811.793490309918,66.5119389999344,67.425,13.3629695389985,-142.602219174193,-143.042934141783,7.11623668993384,0.0456664161911316,0.0431984920109282,0.0140782350565771,0.0399001901816528,0.0384551251127718,0.0118623070770239,554.080611066713,557.208762125038,73.4967154616605,237,237
EC_005_SIR-D3_p05,0.227106065238152,0,0.275035011775826,0.319026114766468,0.302325581395349,0.28237080094627,13.231425091352,13,7.5551653492457,3.77466504263094,3,9.19870835530508,517.455289047832,515.545171414621,118.600628871438,0.461885129999881,0.461721784479664,0.13154234443061,-0.0847045827834938,-0.125,0.571794827446287,1.13856302798542,1.10344827586207,0.444526208255737,0.435544814572437,0.392857142857143,0.237888744056454,0.0712197929333111,0.0645161290322581,0.0829340469344966,0.0194331069364418,0,0.025636411964687,0.821428571428571,0,0.960854275198019,1537.43751522533,1507.5,686.451868620339,-3395.62118542288,-3448.79967256102,1187.7182464389,62.7140806093296,63.8625,16.2961525822192,-140.47072989264,-140.996395890142,9.98638263464954,0.0509568371341646,0.0437170712733873,0.0219446654100305,0.0447314725410438,0.0385670975851864,0.0195839868511326,518.033730138803,516.121477266952,118.733207431569,821,821
EC_005_SIR-D4_p06,0.252497310366008,0.142857142857143,0.283980271995292,0.329064583968828,0.31578947368421,0.281937363615932,12.0655021834061,12,7.41393070230904,4.18590143480973,4,9.77903823858344,489.080177710196,474.709386617621,103.709645041699,0.408281428918377,0.402343235462524,0.100329787268921,-0.292096187505922,-0.3,0.48738304294333,1.21345993857501,1.15151515151515,0.496174452729305,0.371061790114728,0.318181818181818,0.230957065696806,0.062704266821212,0.0588235294117647,0.065489060392906,0.0162274479855573,0,0.0242943408380063,1.03818181818182,1,0.876944295022369,1645.26363069245,1598.4,624.254808780586,-3399.73782982987,-3253.60735927147,1043.50392364983,68.6247413439188,68.85,13.8904167238849,-143.049886588026,-143.50081624622,8.39301263230176,0.0475040482004206,0.0431984920109282,0.0194103381935781,0.0417978209513782,0.0384738059512672,0.0165672415663603,489.626899480279,475.240043896233,103.825577609192,1603,1603
EC_005_SIR-D5_p05,0.250872105030832,0.166666666666667,0.280307357716614,0.321609242370779,0.36,0.290348478226465,12.2365145228216,12,8.12442784452111,3.45228215767635,4,11.0082736394066,510.605929150414,498.682093283339,107.117695179787,0.431415247926486,0.427956205752594,0.110981703064839,-0.273616229090626,-0.285714285714286,0.461531283035773,1.23751848567389,1.13333333333333,0.521335572221787,0.413007565047487,0.375,0.252745927102935,0.0595542084159645,0.0606060606060606,0.0579575189826723,0.0205734100018477,0,0.0270132596366889,0.97,1,0.968754276627901,1659.18796680498,1618.2,617.083555441454,-3467.3377513425,-3414.70735927147,1069.21706350147,68.0980625290828,68.4428571428571,13.1536415665195,-143.108126346516,-142.85942542143,7.86999489167208,0.0469539983347449,0.0430534381569328,0.0184456530082824,0.0412428689376601,0.0376324982007127,0.0158367665241499,511.1767136355,499.239548623331,107.23743746047,241,241
