"site","Treatment","Median_Weighted_Avg_AI_mod","Median_Weighted_Avg_NOSC","Median_Weighted_Avg_DBE","Median_Weighted_Avg_delGcoxPerCmol","Median_Weighted_Avg_delGcoxPerCompmol","Median_Weighted_Avg_Lambda"
"EC_005","Dry",0.31349857072911,-0.204494528956134,12.8451669814745,-142.429913738991,-142.429913738991,0.0390701493284993
"EC_005","Wet",0.336140023771728,-0.247243855659217,13.3967658843409,-143.055379645106,-143.055379645106,0.0377350161554302
"EC_009","Dry",0.310673811805871,-0.211335135994785,12.9463255834124,-141.878815137902,-141.878815137902,0.0389617253363544
"EC_009","Wet",0.344029970678344,-0.246625360306935,12.5506889556408,-141.90058935833,-141.90058935833,0.0423137053644351
"EC_011","Dry",0.248292549330992,-0.306828912012802,11.2543788945117,-143.06721867821,-143.06721867821,0.0386822781779013
"EC_011","Wet",0.289492983740384,-0.236185588954282,11.8062560126828,-142.218504475805,-142.218504475805,0.0425833040402339
"EC_012","Dry",0.36314441602619,0.218920651722893,18.1192834739978,-137.460614012818,-137.460614012818,0.037206889036586
"EC_012","Wet",0.361653962139533,-0.197849351490287,12.8971771095837,-141.823192891342,-141.823192891342,0.0439129823380766
"EC_014","Dry",0.324395886753382,-0.206556069577269,12.3291547144739,-141.544315223218,-141.544315223218,0.0439529969720928
"EC_014","Wet",0.365651991618491,-0.210982879526773,11.9889170534514,-141.623902359057,-141.623902359057,0.0426957624176524
"EC_017","Dry",0.239173478262423,-0.188710962526604,11.575516482064,-142.04198635408,-142.04198635408,0.040668211574527
"EC_017","Wet",0.27522931836216,-0.212352783014467,12.3222206752578,-142.392711939733,-142.392711939733,0.040611957554629
"EC_022","Dry",0.267581696166426,-0.266392606483025,11.6163430901002,-143.474332073556,-143.474332073556,0.0391651788720785
"EC_022","Wet",0.279153620111145,-0.280581300016034,12.654250186489,-143.420764110254,-143.420764110254,0.0368683491087924
"EC_023","Dry",0.346882901724042,-0.0723765890934251,16.412261902579,-140.718691229903,-140.718691229903,0.0349474821895234
"EC_023","Wet",0.312738184548282,-0.255252816931558,12.5471169394411,-142.801784968714,-142.801784968714,0.0388478341297397
"EC_027","Dry",0.350222155148091,-0.283017002943306,13.147766327055,-142.120560256583,-142.120560256583,0.0404951366537201
"EC_027","Wet",0.297936005745905,-0.3586911323476,11.950497630761,-144.29997059391,-144.29997059391,0.0412194033888147
"EC_032","Dry",0.251215281569813,-0.368294375154674,11.0896501627112,-144.443680342723,-144.443680342723,0.0386756096313382
"EC_032","Wet",0.287942266021091,-0.28460308638945,10.7738392437764,-143.162650121603,-143.162650121603,0.0404490032426063
"EC_037","Dry",0.362109741099053,-0.138549879425618,13.8153614920571,-141.40715662982,-141.40715662982,0.0423064510157859
"EC_037","Wet",0.284096439790604,-0.141589620730052,12.4344595961534,-141.391400751953,-141.391400751953,0.0409865874023446
"EC_038","Dry",0.333412314044702,-0.157104666130633,13.2299080472033,-141.218708242562,-141.218708242562,0.0414117990268422
"EC_038","Wet",0.31480050582462,-0.234921818542616,12.3846559900841,-142.571874131071,-142.571874131071,0.0415000198104181
"EC_040","Dry",0.359605594647757,-0.0657416401874001,16.5138827502331,-141.181524508346,-141.181524508346,0.0370724287598905
"EC_040","Wet",0.247335686324219,-0.389779840825188,10.5726886499821,-144.436763182834,-144.436763182834,0.0397160762107414
"EC_041","Dry",0.278152906406886,-0.404818704344469,10.7490417285291,-143.824386680034,-143.824386680034,0.0401564645145969
"EC_041","Wet",0.305010363787663,-0.289343458677402,12.7127135683866,-143.319008242724,-143.319008242724,0.0416726315189938
"EC_051","Dry",0.368651258485963,-0.102848238978321,13.6043824591904,-141.069072669051,-141.069072669051,0.0413737871468294
"EC_051","Wet",0.310129637177186,-0.180602444045473,13.4531398930092,-142.142240931897,-142.142240931897,0.0384286453215289
"EC_052","Dry",0.310749390606945,-0.156680824942962,13.2736946099307,-141.583959099371,-141.583959099371,0.0403498818513491
"EC_052","Wet",0.360547693329393,-0.175729134717191,14.4275698028288,-141.934129910818,-141.934129910818,0.0393163187628388
