Sample_Name,Initial_Water_mass_g,Final_Water_mass_g,Dry_Sediment_Mass_g,Moisture
EC_005_INC-W1,8.36,8.36,15.72,53.18066158
EC_009_INC-W1,8.3,8.3,14.61,56.81040383
EC_011_INC-W1,27.05,24.13,12.96,186.1882716
EC_012_INC-W1,29.06,24.62,11.19,220.0178731
EC_013_INC-W1,13.07,13.07,9.91,131.8869828
EC_014_INC-W1,10.56,10.56,12.43,84.95575221
EC_017_INC-W1,8.5,8.5,15.89,53.49276274
EC_018_INC-W1,9.6,9.6,13.35,71.91011236
EC_021_INC-W1,12.65,12.65,15.91,79.5097423
EC_022_INC-W1,8.34,8.33,15.61,53.3632287
EC_024_INC-W1,5.86,5.86,17.16,34.14918415
EC_027_INC-W1,12.72,12.72,10.01,127.0729271
EC_032_INC-W1,14.22,14.2,9.79,145.0459653
EC_033_INC-W1,9.2,9.2,15.89,57.89804909
EC_034_INC-W1,8.27,8.27,14.84,55.7277628
EC_035_INC-W1,15.43,15.43,7.61,202.7595269
EC_037_INC-W1,7.62,7.62,17.39,43.81828637
EC_038_INC-W1,8.85,8.85,16.36,54.09535452
EC_039_INC-W1,6.61,6.61,15.61,42.34465086
EC_040_INC-W1,9.12,9.12,13.73,66.42388929
EC_041_INC-W1,9.76,9.76,13.78,70.82728592
EC_042_INC-W1,8.42,8.42,14.57,57.78997941
EC_044_INC-W1,7.07,7.07,16.52,42.79661017
EC_051_INC-W1,9.35,9.35,14.74,63.43283582
EC_052_INC-W1,10.71,10.71,12.31,87.00243704
EC_053_INC-W1,9.19,9.18,13.84,66.32947977
EC_056_INC-W1,6.92,6.92,17.03,40.63417499
EC_057_INC-W1,8.55,8.55,17.14,49.88331389
EC_063_INC-W1,7.91,7.91,16.55,47.79456193
EC_064_INC-W1,14.02,14.02,9.01,155.6048835
EC_065_INC-W1,7.16,7.15,14.9,47.98657718
EC_066_INC-W1,10.23,10.23,15.81,64.70588235
EC_068_INC-W1,15.63,15.63,8.31,188.0866426
EC_069_INC-W1,8.19,8.18,15.93,51.34965474
EC_070_INC-W1,8.8,8.8,14.63,60.15037594
EC_071_INC-W1,11.47,11.47,10.56,108.6174242
