"treatment_effect","bulk_variable","correlation","p_value"
"cube_effect_delGcoxPerCmol","cube_Mean_Specific_Surface_Area_m2_per_g",0.57279273874241,0.000612225698365609
"cube_effect_delGcoxPerCmol","cube_Percent_Tot_Sand",-0.335571454382884,0.0604342857599522
"cube_effect_delGcoxPerCmol","cube_median_Dry_Initial_Gravimetric",0.263454299446137,0.145141077236207
"cube_effect_delGcoxPerCmol","cube_Percent_Clay",0.263117799183404,0.145674505495952
"cube_effect_delGcoxPerCmol","cube_Median_SpC_microsiemens_per_cm",0.252038129287032,0.164042693816967
"cube_effect_delGcoxPerCmol","cube_Percent_Coarse_Sand",-0.242741289053198,0.180686871604983
"cube_effect_delGcoxPerCmol","cube_Effect_Size_pH",0.237228072361163,0.191101367352783
"cube_effect_delGcoxPerCmol","cube_Percent_Silt",0.234238999165879,0.196919669003097
"cube_effect_delGcoxPerCmol","cube_Effect_Size_Fe_mg_per_kg",0.233389976531359,0.198594515144929
"cube_effect_delGcoxPerCmol","cube_median_Dry_Final_Gravimetric",0.226944691442288,0.211631640212282
"cube_effect_delGcoxPerCmol","cube_Median_pH",0.22634821219293,0.212867139518957
"cube_effect_delGcoxPerCmol","cube_Percent_Med_Sand",-0.205404861543403,0.259407144742599
"cube_effect_delGcoxPerCmol","cube_Median_Extractable_TN_mg_per_kg",0.186258423925313,0.30740431042505
"cube_effect_delGcoxPerCmol","cube_Effect_Size_SpC_microsiemens_per_cm",-0.174840700163866,0.338517900946258
"cube_effect_delGcoxPerCmol","cube_Median_Fe_mg_per_kg",0.166403351100896,0.362697478600647
"cube_effect_delGcoxPerCmol","cube_Median_X01395_C_percent_per_mg",0.145762975963038,0.426020902570485
"cube_effect_delGcoxPerCmol","cube_Effect_Size_Temperature_degC",-0.138142889700672,0.450855582677673
"cube_effect_delGcoxPerCmol","cube_Effect_Size_Extractable_NPOC_mg_per_kg",0.109625403580556,0.550329172983047
"cube_effect_delGcoxPerCmol","cube_Effect_Size_Extractable_TN_mg_per_kg",0.0844856949438515,0.645708511483525
"cube_effect_delGcoxPerCmol","cube_Effect_Size_N_percent_per_mg",-0.0786935398690856,0.668569679188264
"cube_effect_delGcoxPerCmol","cube_Median_Temperature_degC",0.0730628247258951,0.691077041880752
"cube_effect_delGcoxPerCmol","cube_Effect_Size_ATP_picomoles_per_g",-0.0705830817346836,0.701073369626573
"cube_effect_delGcoxPerCmol","cube_Median_Extractable_NPOC_mg_per_kg",0.0663929494549686,0.718075978233558
"cube_effect_delGcoxPerCmol","cube_Effect_Size_C_percent_per_mg",-0.0543058699717501,0.767844167887421
"cube_effect_delGcoxPerCmol","cube_Median_ATP_picomoles_per_g",-0.0464316838873749,0.800775821947964
"cube_effect_delGcoxPerCmol","cube_Median_X01397_N_percent_per_mg",0.0222136380949005,0.903948835960168
"cube_effect_delGcoxPerCmol","cube_Percent_Fine_Sand",0.0130193831248832,0.94361946400632
"cube_effect_delGcoxPerCmol","cube_Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H",-0.0102361377478408,0.955658943317253
"cube_effect_Lambda","cube_Effect_Size_pH",-0.340010314639029,0.0569061312481445
"cube_effect_Lambda","cube_Median_Extractable_NPOC_mg_per_kg",-0.262215524873514,0.147111838590762
"cube_effect_Lambda","cube_Effect_Size_Temperature_degC",0.185541255002181,0.309303925424295
"cube_effect_Lambda","cube_Effect_Size_Extractable_NPOC_mg_per_kg",0.154307377107777,0.399098255434252
"cube_effect_Lambda","cube_Median_ATP_picomoles_per_g",0.126547280001462,0.49009298566483
"cube_effect_Lambda","cube_median_Dry_Final_Gravimetric",-0.124519037686968,0.49713057310018
"cube_effect_Lambda","cube_median_Dry_Initial_Gravimetric",-0.121113109350884,0.509062323451224
"cube_effect_Lambda","cube_Median_X01395_C_percent_per_mg",0.111776715479404,0.542483802392313
"cube_effect_Lambda","cube_Percent_Fine_Sand",0.109830324237813,0.549579593368281
"cube_effect_Lambda","cube_Median_SpC_microsiemens_per_cm",0.109406122154084,0.551131811594987
"cube_effect_Lambda","cube_Effect_Size_Fe_mg_per_kg",0.104650937472335,0.568670256734647
"cube_effect_Lambda","cube_Effect_Size_ATP_picomoles_per_g",-0.10275815652162,0.57572104425262
"cube_effect_Lambda","cube_Effect_Size_SpC_microsiemens_per_cm",0.101362877080783,0.580943537309204
"cube_effect_Lambda","cube_Median_pH",-0.100156861060201,0.585474500369867
"cube_effect_Lambda","cube_Percent_Clay",0.096328056994333,0.599961283484521
"cube_effect_Lambda","cube_Effect_Size_N_percent_per_mg",0.0936246663291843,0.610281612075706
"cube_effect_Lambda","cube_Median_X01397_N_percent_per_mg",0.0837019122677206,0.648784096044186
"cube_effect_Lambda","cube_Mean_Specific_Surface_Area_m2_per_g",-0.072029934594688,0.695234729404868
"cube_effect_Lambda","cube_Percent_Med_Sand",0.059936636080923,0.744532996781059
"cube_effect_Lambda","cube_Effect_Size_C_percent_per_mg",-0.0434995707714659,0.813128267027795
"cube_effect_Lambda","cube_Percent_Tot_Sand",-0.0331949786632201,0.856871788795495
"cube_effect_Lambda","cube_Effect_Size_Respiration_Rate_mg_DO_per_kg_per_H",0.0310293141607048,0.866122989524793
"cube_effect_Lambda","cube_Median_Fe_mg_per_kg",-0.0241713935650313,0.895527762931242
"cube_effect_Lambda","cube_Median_Extractable_TN_mg_per_kg",0.0214138244993753,0.907392151733835
"cube_effect_Lambda","cube_Median_Temperature_degC",-0.0206339103497316,0.910751389202304
"cube_effect_Lambda","cube_Effect_Size_Extractable_TN_mg_per_kg",-0.0126336878697313,0.945287195286162
"cube_effect_Lambda","cube_Percent_Coarse_Sand",-0.0122486442301229,0.946952336025397
"cube_effect_Lambda","cube_Percent_Silt",-0.00293206255643157,0.987293145823543
