Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type,Missing_Value_Code,Reported_Precision
AI,N/A,"Aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.00000001
AI.mean,N/A,Mean aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.00000001
AI.median,N/A,Median aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.00000001
AI.sd,N/A,Standard deviation aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.0000001
AI_Mod,N/A,"Modified aromaticity index calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,0.000000001
AI_Mod.mean,N/A,Mean modified aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.0000001
AI_Mod.median,N/A,Median modified aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.00000001
AI_Mod.sd,N/A,Standard deviation modified aromaticity index for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.0000001
AIC,N/A,Akaike Information Criterion value used to compare candidate generalized additive models. Lower values indicate better relative model support.,numeric,column_header,-9999,0.0001
AridityWs,N/A,"Watershed aridity index associated with each sampling location, extracted from the Global Aridity Index and Potential Evapotranspiration Database, Version 3 (Zomer and Trabucco, 2022)",numeric,column_header,NA,0.0000001
bs1_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 1 are Van Krevelen-based (Kim et al., 2003).",text,column_header,N/A,-9999
bs2_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets 2 are Van Krevelen-based (Bailey et al., 2017).",text,column_header,N/A,-9999
bs3_class,N/A,"Boundaries used to assign compound classes to molecular formula. Boundary sets  3 further integrate stoichiometry to assign modified compound classes (Rivas-Urbach et al., 2018).",text,column_header,N/A,-9999
C,N/A,Carbon atoms in the analyzed molecule. Identified by an algorithm in Kujawinski and Behn (2006) and modified as described in Tfaily et al. (2017).,numeric,column_header,-9999,1
Calculated_Mass,mass to charge ratio,Calculated ionic mass for the assigned molecular formula. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Calibrated_Mass,mass to charge ratio,Ionic mass of a peak after calibration in CoreMS. The units of mass to charge ratio is commonly denoted as m/z.,numeric,column_header,-9999,0.0001
Column_or_Row_Name,N/A,Column or row headers from each tabular file (csv or tsv) in the dataset.,text,column_header,N/A,-9999
Column_or_Row_Name_Position,N/A,"The location of the column or row that contains the header names (i.e., column name or row name). The count used to identify the location assumes the numbering begins at 1 (rather than 0) and excludes columns or rows that begin with ""#"". Most data in this data package is oriented in columns, so this field indicates the tabular location of the row that holds the column names (e.g., If row 1 has the column headers, row 2 has the units, and row 3 has the data values, then this value would be 1 - to indicate the location of the column header row).",numeric,column_header,-9999,1
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header,N/A,-9999
DBE.mean,N/A,Mean double bond equivalent or degree of unsaturation for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.000001
DBE.median,N/A,Median double bond equivalent or degree of unsaturation for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.1
DBE.sd,N/A,Standard deviation double bond equivalent or degree of unsaturation for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.000001
DBE_1,N/A,"Double bond equivalent or degree of unsaturation calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_AI,N/A,"The minimum number of C-C double bonds plus rings in a common molecular structure containing heteroatoms. Calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_O,N/A,"Double bond equivalent minus Oxygen calculated as per Koch and Dittmar (2006, 2016).",numeric,column_header,-9999,1
DBE_O.mean,N/A,Mean double bond equivalent minus oxygen for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.0000001
DBE_O.median,N/A,Median double bond equivalent minus oxygen for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.1
DBE_O.sd,N/A,Standard deviation double bond equivalent minus oxygen for molecular formulas or samples represented in the corresponding summary table.,numeric,column_header,-9999,0.000001
Definition,N/A,Description of the information in a given column or row in the dataset.,text,column_header,N/A,-9999
delGcox0PerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction under standard conditions (pH = 0). Calculated as  per LaRowe and Van Cappellen (2011).,numeric,column_header,-9999,0.0000001
delGcoxPerCmol,kJ per C mol,Gibbs free energy of the carbon oxidation half reaction at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.00001
delGd,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 7. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.0001
delGd0,kJ per Compound mol,Gibbs free energy of the carbon oxidation half reaction per compound mol at pH 0. Calculated as per Song et al. (2020).,numeric,column_header,-9999,0.1
Dev_explained,N/A,Deviance explained by the generalized additive model.,numeric,column_header,-9999,0.0000001
EC_*,N/A,Sample name with rows representing peak intensities reflected as presence absence.,numeric,column_header,-9999,0.1
elevation,meters,"Watershed elevation associated with each sampling location, extracted from NHDPlusV2.1 using the nhdplusTools R package (Blodgett and Johnson, 2022).",numeric,column_header,NA,0.0001
Error_ppm,parts per million,Parts per million error calculated as [expected molecular mass - measured molecular mass]/expected molecular mass * 1e6).,numeric,column_header,-9999,0.000000001
ET_kgm2year,kilograms per meters squared per year,"Annual evapotranspiration associated with each watershed, extracted from MODIS/AppEEARS products and summarized for the sampling period.",numeric,column_header,-9999,0.01
ET_mean_mm_yr,millimeters per year,"Mean annual evapotranspiration associated with each watershed, extracted from MODIS/AppEEARS products and summarized for the sampling period.",numeric,column_header,NA,0.00001
File_Description,N/A,A brief description of the files in the data package.,text,column_header,N/A,-9999
File_Name,N/A,Name of files in the data package.,text,column_header,N/A,-9999
File_Path,N/A,File path within the data package.,text,column_header,N/A,-9999
Formula,N/A,Generalized additive model formula,text,column_header,N/A,-9999
formula,N/A,Calibrated mass for a molecular formula assigned to an FTICR-MS peak used for the unique peak analyses,numeric,column_header,-9999,0.0001
