File_Name,File_Description,Standard,Header_Rows,Column_or_Row_Name_Position,File_Path
readme_Garayburu-Caruso_2026_ECA_Thermodynamics.pdf,"Data package level readme. Contains data package summary, acknowledgements, and contact information.",N/A,-9999,-9999,/ECA_DOM_Thermodynamics
Garayburu-Caruso_2026_ECA_Thermodynamics_dd.csv,"Data dictionary that defines column and row headers across all tabular data files (files ending in "".csv"" or "".tsv"") in the data package.",ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics
Garayburu-Caruso_2026_ECA_Thermodynamics_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE FLMD v1; ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics
ECA_DOM_Thermodynamics.Rproj,RStudio project file for the ECA DOM thermodynamics analysis workflow.,N/A,-9999,-9999,/ECA_DOM_Thermodynamics
EC_Ecoregions.csv,The ecoregion associated with each Parent ID extracted from figure 1. ,ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
EC_Field_Geospatial_NPP_PET_VGC.csv,"Geospatial variables, net primary production, potential evapotranspiration, and related site-level explanatory variables used in the manuscript analyses.",ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
ECA_Median_Summary_Unique_Peaks.csv,Summary table of median FTICR-MS molecular properties and thermodynamic metrics calculated from treatment-unique molecular formulas.,ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
FTICR_combined_unique_formulas_Data.csv,Processed FTICR-MS molecular formula table focused on formulas unique to site-by-treatment combinations and used for DOM thermodynamic analyses.,ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Large_scale_variables.csv,"Large-scale watershed, climate, topographic, and land-cover variables used to evaluate whether environmental context explains DOM thermodynamic treatment responses.",ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Medians_of_Median_molecular_properties_per_site_and_treatment_unique_formulas.csv,"Site- and treatment-level table of median molecular properties calculated from treatment-unique formulas, including DOM thermodynamic metrics used in statistical analyses.",ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Processed_clean_CoreMS_XML_Int_1p5ppm_cal_pts_Mol.csv,Processed and cleaned CoreMS molecular formula output from FTICR-MS data after calibration and formula assignment using a 1.5 ppm mass-error threshold.,ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Processed_clean_CoreMS_XML_Int_4_reps_1p5ppm_cal_Data.csv,Processed and cleaned CoreMS sample-by-formula FTICR-MS data after filtering to sites with sufficient replicate coverage and a 1.5 ppm mass-error threshold.,ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Unique_Molecular_Formulas_per_site_per_treatment.csv,"CSV file listing FTICR-MS molecular formulas and their occurrence status within each site, indicating whether each formula was unique to the wet treatment, unique to the dry treatment, or shared across treatments.",ESS-DIVE CSV v1,1,1,/ECA_DOM_Thermodynamics/Data
Figure_S2_SINGLE_PAGE_COMPOSITE_A_B_C.*,"Supplemental Figure S2 composite showing large-scale variable analyses associated with DOM treatment-response clusters. The asterisk indicates the file extension (pdf, png). ",N/A,-9999,-9999,/ECA_DOM_Thermodynamics/Figures
Figure1_Map.*,"Figure of the sampled sites and ecoregions. The asterisk indicates the file extension (pdf, png). ",N/A,-9999,-9999,/ECA_DOM_Thermodynamics/Figures
Figure2_HeatMap_LDA_boxplots_formatted_no_moisture.*,"Figure 2 showing hierarchical clustering of DOM thermodynamic treatment effects, boxplots of effect sizes, and linear discriminant analysis of within-sample variables. The asterisk indicates the file extension (pdf, png). ",N/A,-9999,-9999,/ECA_DOM_Thermodynamics/Figures
Figure3_Thermodynamics_vs_Respiration.*,"Figure 3 showing relationships between DOM thermodynamic properties and oxygen consumption rates across wet and dry treatments. The asterisk indicates the file extension (pdf, png). ",N/A,-9999,-9999,/ECA_DOM_Thermodynamics/Figures
