"Samples","Median_AI_mod","Median_NOSC","Median_DBE","Median_Gibbs","Median_Gibbs_Compound","Median_Lambda","Location","Treatment"
"EC_005_SIR-D1",0.305235137533274,-0.428571428571429,12,-145.187164561186,-3615.0150095998,0.034392515107556,"EC_005","D"
"EC_005_SIR-D2",0.307692307692308,-0.413793103448276,12,-144.859260707981,-3570.47653966547,0.0351863001387111,"EC_005","D"
"EC_005_SIR-D3",0.348837209302326,-0.333333333333333,13,-143.816292915574,-3654.96885295503,0.0353041076829979,"EC_005","D"
"EC_005_SIR-D4",0.294117647058824,-0.428571428571429,12,-145.196138453723,-3756.50732288936,0.0331073777563475,"EC_005","D"
"EC_005_SIR-D5",0.304347826086957,-0.416666666666667,12,-144.777457734747,-3564.6150095998,0.0349677427744868,"EC_005","D"
"EC_005_SIR-W1",0.3,-0.428571428571429,11,-145.009728010738,-3571.22273269236,0.034943732691956,"EC_005","W"
"EC_005_SIR-W2",0.319148936170213,-0.413793103448276,12,-144.767211640172,-3563.97655785652,0.0354912632288827,"EC_005","W"
"EC_005_SIR-W3",0.297297297297297,-0.421052631578948,12,-144.880552219317,-3616.29191308636,0.034943732691956,"EC_005","W"
"EC_005_SIR-W4",0.313859275053305,-0.421052631578948,12,-144.967061586619,-3711.33040121175,0.0337299854859548,"EC_005","W"
"EC_005_SIR-W5",0.3,-0.424242424242424,12,-144.967061586619,-3614.26881657292,0.0346534306894817,"EC_005","W"
"EC_009_SIR-D1",0.299122807017544,-0.444444444444445,11,-145.445135048402,-3592.74577463264,0.0346121938335347,"EC_009","D"
"EC_009_SIR-D2",0.282051282051282,-0.48,11,-145.735149642636,-3633.33806973114,0.0340779302587702,"EC_009","D"
"EC_009_SIR-D3",0.285714285714286,-0.5,11,-145.566221780264,-3588.90734108041,0.0341768052683809,"EC_009","D"
"EC_009_SIR-D4",0.282051282051282,-0.5,11,-145.883369055037,-3662.4803830207,0.033543399490366,"EC_009","D"
"EC_009_SIR-D5",0.304347826086957,-0.470588235294118,11,-145.543569698109,-3431.3804194028,0.0360225491196565,"EC_009","D"
"EC_009_SIR-W1",0.263157894736842,-0.521739130434782,11,-146.13366442234,-3626.83808792219,0.0336027471225954,"EC_009","W"
"EC_009_SIR-W2",0.285714285714286,-0.428571428571429,11,-145.056457437196,-3448.79967256102,0.0361570194170607,"EC_009","W"
"EC_009_SIR-W3",0.285714285714286,-0.416666666666667,10,-144.885454382081,-3093.79198585058,0.0387603645238386,"EC_009","W"
"EC_009_SIR-W4",0.277777777777778,-0.444444444444445,11,-145.187164561186,-3385.19194946847,0.0365137645254673,"EC_009","W"
"EC_009_SIR-W5",0.307692307692308,-0.444444444444445,11,-145.196138453723,-3260.74579282369,0.0377223592673602,"EC_009","W"
"EC_011_SIR-D1",0.259259259259259,-0.5,10,-145.931423160537,-3537.76887114608,0.0348617685095374,"EC_011","D"
"EC_011_SIR-D2",0.24,-0.533333333333333,10,-146.066848835813,-3501.75347953414,0.0346873661133568,"EC_011","D"
"EC_011_SIR-D3",0.39622641509434,-0.521739130434782,13,-146.541889256196,-3426.42655785653,0.0358728017567044,"EC_011","D"
"EC_011_SIR-D4",0.2,-0.428571428571429,9,-144.6028498096,-2932.42276907447,0.0408709547324006,"EC_011","D"
"EC_011_SIR-D5",0.263157894736842,-0.5,11,-145.900786297753,-3493.86885295503,0.0349506207183926,"EC_011","D"
"EC_011_SIR-W1",0.285714285714286,-0.428571428571429,11,-145.183901327536,-3321.69196765953,0.0372780685721224,"EC_011","W"
"EC_011_SIR-W2",0.263157894736842,-0.48,10,-145.64890785241,-3409.48428094908,0.0361448696842451,"EC_011","W"
"EC_011_SIR-W3",0.286924939467312,-0.454545454545454,11,-145.485441906644,-3409.74963617891,0.0361746348375329,"EC_011","W"
"EC_011_SIR-W4",0.275862068965517,-0.470588235294118,11,-145.780063538913,-3546.29194946847,0.0348952639814505,"EC_011","W"
"EC_011_SIR-W5",0.304347826086957,-0.444444444444445,11,-145.196138453723,-3391.05347953414,0.0366662732737022,"EC_011","W"
"EC_012_SIR-D1",0.230769230769231,-0.25,10,-142.243220923101,-2917.2958292058,0.0432858739495416,"EC_012","D"
"EC_012_SIR-D2",0.225806451612903,-0.461538461538462,9,-145.209165071922,-3112.11504598191,0.0386598140037205,"EC_012","D"
"EC_012_SIR-D3",0.0434782608695652,-0.454545454545454,7,-145.928829711932,-2733.6612390088,0.0426539566842977,"EC_012","D"
"EC_012_SIR-D4",0.4,-0.476190476190476,13,-145.183901327536,-3540.4304194028,0.0349005616656326,"EC_012","D"
"EC_012_SIR-D5",0.270509977827051,-0.422619047619048,12,-143.804105536666,-3358.98426275802,0.0374446586614652,"EC_012","D"
"EC_012_SIR-W1",0.263157894736842,-0.476190476190476,10,-145.861975804733,-3260.74579282369,0.0370470675676451,"EC_012","W"
"EC_012_SIR-W2",0,-0.424812030075189,6,-146.714343675216,-2598.13433552224,0.0453550034826729,"EC_012","W"
"EC_012_SIR-W3",0.365853658536585,-0.430501930501931,12,-144.913244924044,-3378.05351591625,0.0364422040219518,"EC_012","W"
"EC_012_SIR-W4",0.268761726078799,-0.470588235294118,10,-145.509621820812,-3364.84579282369,0.0366863636133777,"EC_012","W"
"EC_012_SIR-W5",0.272727272727273,-0.461538461538462,11,-145.445135048402,-3442.19194946847,0.0359468379153267,"EC_012","W"
"EC_013_SIR-D1",0.318181818181818,-0.4,11,-144.755606016984,-3356.42273269236,0.0374475356560967,"EC_013","D"
"EC_013_SIR-D2",0.322033898305085,-0.388888888888889,11,-144.829792824619,-3293.56120262669,0.0383028348885061,"EC_013","D"
