"Samples","Treatment","Number_of_reps","Median_AI_mod","Median_NOSC","Median_DBE","Median_Gibbs","Median_Gibbs_Compound","Median_Lambda"
"EC_005_SIR-D","Dry",5,0.310344827586207,-0.4,12,-144.755606016984,-3641.22269631025,0.0345695786951976
"EC_009_SIR-D","Dry",5,0.285714285714286,-0.48,11,-145.622292369843,-3600.52265992814,0.0343569356753281
"EC_011_SIR-D","Dry",5,0.259259259259259,-0.5,10,-145.906394980589,-3484.70732288936,0.0350917144223092
"EC_012_SIR-D","Dry",5,0.263157894736842,-0.428571428571429,11,-144.786926812445,-3230.69967256102,0.0385206509817839
"EC_013_SIR-D","Dry",5,0.322033898305085,-0.37037037037037,12,-144.396993543276,-3384.6612390088,0.0374293754931857
"EC_014_SIR-D","Dry",5,0.320754716981132,-0.4,11,-144.740470732121,-3358.98426275802,0.037370374073004
"EC_017_SIR-D","Dry",5,0.294117647058824,-0.428571428571429,12,-145.183901327536,-3726.99191308636,0.0337042825680975
"EC_018_SIR-D","Dry",5,0.311475409836066,-0.410256410256411,12,-144.829792824619,-3588.26888933713,0.0352281369661633
"EC_021_SIR-D","Dry",5,0.275862068965517,-0.56,10,-146.571857089746,-3264.42275088341,0.0368689228941212
"EC_022_SIR-D","Dry",4,0.285714285714286,-0.470588235294118,11,-145.475754118201,-3497.70728650725,0.0351776508729357
"EC_023_SIR-D","Dry",5,0.277186761229315,-0.48,10,-145.196138453723,-3289.5150095998,0.0369941792371569
"EC_024_SIR-D","Dry",5,0.227272727272727,-0.620689655172414,10,-147.343734082827,-3461.05344315203,0.0342842206701974
"EC_027_SIR-D","Dry",5,0.25,-0.526315789473684,10,-145.912003663425,-3293.56120262669,0.0364422040219518
"EC_032_SIR-D","Dry",5,0.301587301587302,-0.428571428571429,12,-145.036114857477,-3656.5149732177,0.0342769851853902
"EC_033_SIR-D","Dry",5,0.217391304347826,-0.588235294117647,9,-146.714343675216,-3108.81504598191,0.037955495200625
"EC_034_SIR-D","Dry",5,0.25,-0.5,10,-145.735149642636,-3275.76885295503,0.0370560538140651
"EC_035_SIR-D","Dry",5,0.25,-0.413793103448276,9,-144.755606016984,-2998.85351591625,0.0405439742668005
"EC_037_SIR-D","Dry",5,0.358490566037736,-0.277777777777778,13,-143.61280512039,-3518.79963617891,0.0370314061141244
"EC_038_SIR-D","Dry",5,0.363636363636364,-0.352941176470588,13,-144.409076025501,-3557.47657604758,0.0359484743604988
"EC_039_SIR-D","Dry",5,0.243243243243243,-0.526315789473684,10,-146.014270121954,-3415.98426275802,0.035423466404584
"EC_040_SIR-D","Dry",5,0.255813953488372,-0.5,10,-145.577933232231,-3344.59965436997,0.0367832704475868
"EC_041_SIR-D","Dry",5,0.25,-0.580645161290323,10,-146.714343675216,-3516.77653966547,0.0343464475016329
