Samples,Total_Peaks
EC_011_SIR.D1_000008.corems,3245
EC_011_SIR.D2_000006.corems,2809
EC_011_SIR.D3_000001.corems,1163
EC_011_SIR.D4_000001.corems,1145
EC_011_SIR.D5_000004.corems,3530
EC_011_SIR.W1_000006.corems,1850
EC_011_SIR.W2_000005.corems,2234
EC_011_SIR.W3_000008.corems,2777
EC_011_SIR.W4_000006.corems,3429
EC_011_SIR.W5_000005.corems,2207
EC_013_SIR.D1_000010.corems,1600
EC_013_SIR.D2_000002.corems,792
EC_013_SIR.D3_000005.corems,2199
EC_013_SIR.D4_000010.corems,2804
EC_013_SIR.D5_000009.corems,2350
EC_013_SIR.W1_000003.corems,1631
EC_013_SIR.W2_000005.corems,2918
EC_013_SIR.W3_000005.corems,2032
EC_013_SIR.W4_000012.corems,2340
EC_013_SIR.W5_000007.corems,3759
EC_023_SIR.D1.corems,0
EC_023_SIR.D2.corems,1165
EC_023_SIR.D3_000005.corems,1703
EC_023_SIR.D4.corems,2640
EC_023_SIR.D5.corems,1533
EC_023_SIR.W1.corems,3026
EC_023_SIR.W2.corems,2482
EC_023_SIR.W3_000005.corems,2562
EC_023_SIR.W4.corems,2948
EC_023_SIR.W5.corems,1489
EC_032_SIR.D1_000004.corems,3256
EC_032_SIR.D2_000005.corems,3459
EC_032_SIR.D3_000007.corems,3653
EC_032_SIR.D4_000006.corems,3391
EC_032_SIR.D5_000006.corems,4097
EC_032_SIR.W1_000009.corems,2460
EC_032_SIR.W2_000008.corems,2571
EC_032_SIR.W3_000004.corems,3491
EC_032_SIR.W4_000007.corems,2216
EC_032_SIR.W5_000003.corems,3600
EC_039_SIR.D1_000006.corems,2229
EC_039_SIR.D2_000004.corems,2665
EC_039_SIR.D3_000003.corems,2737
EC_039_SIR.D4_000005.corems,2477
EC_039_SIR.D5_000004.corems,1688
EC_039_SIR.W1_000005.corems,754
EC_039_SIR.W2_000004.corems,3321
EC_039_SIR.W3_000002.corems,452
EC_039_SIR.W4_000010.corems,2220
EC_039_SIR.W5_000005.corems,703
EC_040_SIR.D1.corems,719
EC_040_SIR.D2.corems,1062
EC_040_SIR.D3.corems,1827
EC_040_SIR.D4.corems,1369
EC_040_SIR.D5.corems,2311
EC_040_SIR.W1.corems,1891
EC_040_SIR.W2.corems,1916
EC_040_SIR.W3.corems,1081
EC_040_SIR.W4.corems,2597
EC_040_SIR.W5.corems,1753
EC_041_SIR.D1_000007.corems,2111
EC_041_SIR.D2_000004.corems,2787
EC_041_SIR.D3_000002.corems,2135
EC_041_SIR.D4_000009.corems,1101
EC_041_SIR.D5_000021.corems,2048
EC_041_SIR.W1_000002.corems,2254
EC_041_SIR.W2_000011.corems,2164
EC_041_SIR.W3_000009.corems,1745
EC_041_SIR.W4_000017.corems,2280
EC_041_SIR.W5_000004.corems,2289
EC_12_SIR.D1_000012.corems,732
EC_12_SIR.D2_000005.corems,1348
EC_12_SIR.D3_000010.corems,610
EC_12_SIR.D4_000002.corems,1149
